CourseEvals,BeautyScore,female,lower,nonenglish,tenuretrack
3.235244675,0.2015666,1,0,0,1
3.226327535,-0.8260813,0,0,0,1
3.647711815,-0.6603327,0,0,0,1
3.37206245,-0.7663125,1,0,0,1
4.292705101,1.421445,1,0,0,1
4.239139538,0.5002196,0,0,0,1
3.00518703,-0.2143501,1,0,0,1
3.842653736,-0.346539,1,0,0,1
3.547257427,0.0613435,1,0,0,1
4.448233836,0.4525679,0,0,0,0
3.785277344,0.1432643,0,0,1,1
3.510399676,-0.1550228,0,0,0,0
4.044416206,0.1285433,0,0,0,1
3.398673845,-0.3470453,0,0,1,1
4.247372253,0.4619388,1,0,0,1
3.727990962,-0.1503849,0,0,0,1
2.778553689,-1.070734,1,0,0,0
3.381657383,-0.1426931,0,1,0,0
3.807479906,-0.1563634,1,0,0,1
3.72318044,-0.0589354,1,0,0,0
3.620107689,0.1511368,1,0,0,0
2.340654714,-0.937076,1,0,1,1
2.569860727,-0.8214405,0,0,0,1
3.761175398,-0.1994712,0,0,0,1
3.873201827,1.687167,1,0,0,1
3.285414154,-0.4101976,0,0,0,1
3.265633211,0.1233448,0,0,1,1
3.951154622,-0.8059942,0,0,0,1
3.233126587,-0.8210418,0,0,0,1
4.191456807,0.3198185,1,0,0,1
4.168351734,-0.0985568,0,0,0,0
3.729772421,-1.012306,0,0,0,1
4.244240732,0.4883314,0,1,0,1
2.831164626,-0.1719505,1,1,0,1
3.559647563,-1.167907,0,0,0,1
3.572859064,0.9525534,1,0,0,1
3.987697002,-1.140457,0,0,0,1
3.641837119,-0.8161172,0,0,0,1
3.295457154,-0.4837456,0,0,0,1
4.584048974,0.8450468,0,0,0,1
3.252351298,-0.3261277,0,0,0,1
3.947180131,0.1865589,0,0,0,1
4.5016497,1.881674,1,1,0,0
3.692982986,0.9626006,0,0,0,1
3.830549282,0.1534694,0,1,0,1
4.439507578,1.261046,0,0,0,1
4.114473609,0.0232144,1,0,0,1
3.673406896,-0.3460746,1,0,0,1
2.951502039,-0.744618,1,1,0,0
3.719091598,-0.7447439,0,0,0,1
3.79682085,0.6361284,1,0,0,1
4.070507796,0.5434852,0,0,0,1
3.921111259,0.9825948,1,0,0,1
3.294075155,-1.538843,1,1,0,1
4.269249796,1.067531,0,0,0,1
3.33599051,-0.4143639,0,1,0,1
3.37924237,0.7962944,1,1,0,1
3.289997511,-0.6466943,1,1,0,1
3.810146244,-0.4299034,0,0,1,1
4.121906967,-0.5924066,1,0,0,1
3.888851375,-0.9889295,0,0,0,1
2.820813225,0.5546651,0,0,0,1
3.214753212,0.6851749,1,0,0,1
3.527764644,0.9755885,1,0,0,1
2.987766795,-1.178738,1,0,0,0
3.411730362,-1.157511,0,0,0,1
4.675234781,1.327346,0,0,0,1
4.213340416,-1.511268,0,0,0,1
3.523058064,0.3034731,1,0,0,1
3.163561366,-0.5783117,0,1,0,1
3.911674243,-0.671936,0,1,0,0
4.444581974,0.6683338,0,0,0,1
3.573230721,0.7924695,0,1,0,1
3.678527589,-0.6548505,0,1,0,1
3.476902867,0.2510546,1,1,0,1
3.820326492,-0.2397178,1,1,0,1
2.864968826,-1.113346,1,1,0,0
4.49769435,-0.1135935,0,1,0,1
3.879921013,-0.8351366,0,0,0,1
4.22046903,0.9005994,1,0,0,1
3.614301887,-0.620769,0,1,0,0
2.902699989,-0.8552412,0,1,0,1
3.39988541,1.065906,1,1,0,0
3.440172085,1.144253,1,1,0,1
3.487114628,1.685985,0,1,0,0
4.347248569,1.684802,0,1,0,1
3.857517245,0.6362435,0,1,0,1
3.570821897,-1.269975,0,1,0,1
4.280376504,1.681103,1,1,0,1
3.47224658,-0.6756103,0,1,0,1
3.323662405,-0.0901815,1,1,0,1
3.640567297,-0.1450257,1,0,1,1
3.30062166,1.143045,0,1,0,1
3.805577904,0.3320507,1,0,1,1
3.344075484,0.2015666,1,0,0,1
4.136361035,0.2015666,1,0,0,1
3.578567165,0.2015666,1,0,0,1
3.734099651,-0.8260813,0,0,0,1
3.978872504,-0.8260813,0,0,0,1
4.361488408,-0.6603327,0,0,0,1
3.534744953,-0.7663125,1,0,0,1
3.634222225,-0.7663125,1,0,0,1
2.900904385,-0.7663125,1,0,0,1
3.308926941,-0.7663125,1,0,0,1
2.752542343,-0.7663125,1,0,0,1
3.178272841,-0.7663125,1,0,0,1
3.651181052,-0.7663125,1,0,0,1
